PT08.S1(CO),T,RH,AH
1118,16.9,34.6,0.6597
1170,16.6,35.6,0.6697
1112,11.3,63.9,0.8554
1390,9.6,81.1,0.972
1353,11.7,69.1,0.9497
1260,10.7,68.5,0.8794
1501,10.7,67.3,0.8643
1273,10.8,65.7,0.8486
1179,10.3,66.3,0.8336
1047,10.1,66.9,0.8248
973,10.4,61.1,0.7717
997,10.3,59.9,0.7516
970,11.0,58.4,0.7686
902,9.1,68.1,0.789
921,9.5,68.2,0.8091
858,9.3,72.3,0.8496
878,9.9,66.8,0.8152
893,7.6,83.2,0.8695
1038,8.1,79.0,0.8544
1320,8.7,74.6,0.8429
1353,8.6,75.1,0.8415
1133,9.7,69.7,0.8389
1066,11.0,64.4,0.8447
1027,13.6,53.0,0.8209
1106,14.2,48.4,0.778
1038,14.2,46.3,0.7438
1084,16.0,41.3,0.7462
1105,17.7,35.4,0.7094
1102,17.1,37.4,0.7225
1240,14.9,40.5,0.6835
1443,13.4,47.8,0.7293
1389,12.6,52.5,0.7642
1183,12.2,53.2,0.7555
1014,10.6,56.1,0.714
979,9.9,59.5,0.7276
1048,9.6,61.1,0.7323
1024,9.7,61.6,0.7425
974,9.4,62.6,0.7398
862,8.2,68.5,0.7455
925,8.0,69.4,0.7459
952,7.7,72.4,0.7655
1005,8.0,71.8,0.7711
1122,8.5,66.3,0.7375
1351,9.8,59.6,0.7214
1408,11.2,57.0,0.7544
1304,14.8,44.1,0.7407
1207,16.8,35.3,0.6729
1099,19.2,27.1,0.5976
1106,19.1,26.2,0.5741
1009,16.3,30.8,0.5683
962,14.2,36.8,0.5922
1093,13.4,41.0,0.6292
1180,14.2,43.3,0.6982
1168,12.1,45.6,0.6403
1168,10.4,48.0,0.6046
1140,10.0,51.1,0.628
1001,9.8,50.8,0.6172
953,9.7,50.4,0.6063
972,9.9,50.2,0.6103
1021,9.4,53.4,0.63
940,8.6,57.8,0.6488
1046,8.1,62.1,0.6746
1026,7.9,63.5,0.6777
983,7.4,64.8,0.6683
915,8.2,58.9,0.6444
935,6.3,66.6,0.641
976,7.2,62.9,0.6396
1124,7.2,63.9,0.65
1163,11.1,50.5,0.6654
1167,15.5,36.1,0.6313
1121,17.8,29.2,0.592
1071,17.6,30.1,0.6013
1065,19.1,26.8,0.5861
1157,17.7,28.6,0.5735
1046,17.8,28.4,0.5737
1147,18.7,26.0,0.5555
1119,17.1,31.3,0.6038
1210,15.8,36.1,0.644
1306,14.7,40.1,0.6657
1258,13.6,44.9,0.6991
1148,12.5,48.1,0.6946
1108,11.8,50.8,0.7042
1231,10.9,56.1,0.7326
1293,10.9,55.9,0.7277
1274,10.3,58.1,0.7278
1135,9.3,62.2,0.7294
1151,8.2,66.7,0.7276
1010,8.3,64.9,0.7124
870,9.6,58.5,0.7
983,7.7,66.4,0.699
995,7.4,68.0,0.7043
1024,9.7,58.6,0.7035
1163,12.5,50.1,0.7242
1218,16.8,36.9,0.7018
1210,19.2,31.3,0.6887
1114,21.3,26.4,0.6607
995,21.2,23.1,0.5768
927,18.6,25.0,0.5319
1002,18.0,27.3,0.5594
987,18.2,28.3,0.5848
993,17.0,31.4,0.6048
1012,15.6,35.0,0.617
1114,14.1,40.2,0.6438
1093,13.4,43.2,0.6623
968,12.3,46.8,0.6686
960,11.9,46.5,0.6449
942,11.5,46.6,0.6319
888,10.6,48.0,0.6135
818,10.7,45.8,0.5895
840,10.4,46.6,0.5901
894,10.1,47.8,0.5913
864,11.3,46.9,0.628
898,10.1,51.2,0.6341
946,9.9,50.7,0.6167
1309,8.1,56.8,0.615
1326,10.9,44.1,0.5748
966,11.8,37.6,0.5184
975,13.9,33.2,0.5222
988,15.6,30.1,0.5285
971,16.5,29.0,0.5406
1010,17.5,27.9,0.5517
984,17.9,26.8,0.5446
962,18.2,26.1,0.5387
1012,18.0,27.1,0.5522
1058,17.0,28.9,0.5558
1173,16.1,31.3,0.568
1127,14.5,35.4,0.5839
1020,13.2,37.9,0.5733
949,13.1,34.4,0.517
930,13.5,28.5,0.4405
900,12.4,31.9,0.4583
899,13.1,26.8,0.4023
866,11.6,33.6,0.4595
900,10.5,42.9,0.5442
949,11.7,38.7,0.5298
897,12.2,37.2,0.5277
956,12.9,33.9,0.5037
1054,11.3,40.3,0.5376
1343,11.9,38.4,0.5341
1584,13.3,35.6,0.5416
1556,16.3,28.8,0.5305
1565,17.9,28.2,0.5741
1429,18.3,26.6,0.5529
1419,20.8,22.5,0.5463
1373,22.4,20.0,0.5352
1185,20.9,21.7,0.5295
1122,19.1,26.5,0.579
1085,18.1,30.6,0.6295
1249,17.3,34.7,0.6788
1236,15.8,40.4,0.7228
1334,15.9,42.0,0.7541
1264,15.9,43.5,0.779
1073,15.0,46.1,0.7833
1053,15.1,44.6,0.7574
1098,14.9,43.5,0.7302
1029,14.8,41.0,0.685
973,14.8,40.8,0.6814
972,14.8,40.8,0.6834
832,14.2,36.1,0.5823
851,14.5,36.1,0.5928
909,14.6,36.0,0.5947
1038,14.4,38.5,0.6291
1636,13.8,58.2,0.9129
1580,13.2,61.1,0.9256
1262,10.4,74.4,0.9384
1197,11.5,71.0,0.9582
1277,12.2,70.0,0.9924
1430,12.3,73.3,1.0442
1242,11.3,78.1,1.0411
1349,13.6,69.2,1.0746
1390,14.9,59.3,0.9974
1224,15.7,50.9,0.8997
1253,15.2,52.9,0.9087
1312,15.5,50.8,0.8881
1254,14.3,52.9,0.8581
1198,13.2,56.0,0.8446
1060,12.6,57.0,0.8315
1050,12.3,57.8,0.8224
1029,12.0,58.4,0.8164
1143,12.0,61.6,0.8593
1044,11.5,63.9,0.8652
1034,10.7,67.2,0.863
956,9.0,73.1,0.8394
909,10.2,66.6,0.8299
996,11.0,63.7,0.8325
1154,9.6,68.8,0.8243
1510,9.5,69.6,0.8273
1722,11.9,60.9,0.8455
1512,16.2,48.6,0.8892
1258,19.2,39.6,0.8693
1094,19.7,38.4,0.8743
1129,20.6,36.7,0.8797
1125,21.8,33.9,0.8771
1308,23.6,27.5,0.7913
1529,22.8,32.1,0.8814
1592,20.8,36.7,0.8878
1536,18.3,40.9,0.8493
1192,16.8,44.0,0.8341
1186,15.8,48.0,0.8569
1203,14.9,52.0,0.8757
1139,14.1,54.4,0.8701
1072,13.3,58.8,0.8922
954,13.3,60.9,0.9229
951,11.8,64.3,0.8869
926,11.2,65.9,0.8775
968,11.3,72.9,0.9738
1067,11.4,71.8,0.9671
1386,11.9,73.7,1.0254
1474,12.6,70.2,1.0221
1569,13.6,65.3,1.0136
1375,16.9,52.3,1.0013
1328,19.4,44.1,0.9855
1341,22.9,33.8,0.9322
1297,23.6,31.3,0.9001
1303,24.7,30.5,0.9371
1281,26.1,27.3,0.9101
1248,27.6,22.8,0.8288
1382,26.9,22.3,0.7792
1491,24.3,30.1,0.9012
1620,21.2,40.1,0.9978
1693,19.4,42.5,0.9483
1374,18.5,43.0,0.9074
1287,17.8,47.0,0.9467
1408,16.8,53.2,1.01
1254,17.1,51.8,0.999
1141,16.2,54.2,0.9933
1141,15.1,58.2,0.9886
1042,15.1,57.6,0.9796
986,14.5,58.0,0.9488
1005,13.7,61.6,0.9631
1041,13.9,59.6,0.9408
1272,13.3,61.7,0.9399
1436,15.1,55.8,0.9486
1472,17.0,50.5,0.9684
1418,19.7,43.3,0.9837
1410,20.7,41.7,1.0092
1438,23.3,35.8,1.0098
1278,23.8,30.5,0.8897
1257,24.8,27.0,0.8325
1331,25.0,27.5,0.8575
1361,25.8,26.5,0.8675
1398,25.1,27.1,0.8496
1483,23.7,28.6,0.8273
1697,22.1,36.8,0.9681
1459,19.9,47.5,1.0912
1268,18.7,50.4,1.0772
1469,18.1,51.3,1.0587
1316,17.5,53.8,1.0648
1224,16.7,56.5,1.0634
1215,15.9,59.2,1.0635
1115,15.2,62.4,1.0726
1124,14.7,65.0,1.0766
1028,14.3,65.3,1.0594
1010,13.7,66.5,1.0393
1074,12.9,69.1,1.0264
1034,13.7,64.8,1.0135
1130,15.3,59.0,1.0181
1275,18.1,49.8,1.0272
1324,21.5,40.7,1.0301
1268,23.3,37.1,1.0457
1272,25.1,33.8,1.0594
1160,25.6,32.1,1.0393
1136,25.8,31.1,1.0143
1296,26.1,30.8,1.0253
1345,24.4,36.0,1.085
1296,23.0,36.2,1.0053
1258,22.1,39.3,1.0336
1420,19.8,44.6,1.0208
1366,18.5,48.9,1.0323
1113,16.6,56.1,1.0481
1196,15.8,58.8,1.0464
1188,15.3,60.8,1.0501
1102,14.7,64.4,1.0717
969,14.8,63.3,1.0584
983,15.0,61.5,1.0418
876,15.5,56.9,0.9961
884,16.0,54.0,0.9742
1024,13.5,63.9,0.9809
1126,12.9,65.3,0.9688
1415,13.4,62.5,0.9582
1631,14.5,58.8,0.963
1499,15.3,56.7,0.9773
1461,15.6,57.4,1.0075
1430,16.6,55.2,1.0382
1498,17.0,54.3,1.0434
1454,18.0,51.5,1.0552
1402,19.5,47.5,1.0653
1327,21.6,41.7,1.0606
1273,22.2,38.3,1.0106
1457,20.3,42.8,1.0053
1543,19.7,45.4,1.0312
1499,18.8,47.5,1.0199
1378,17.9,49.4,1.0064
1243,17.5,50.9,1.009
1196,17.4,51.8,1.023
1137,17.0,53.9,1.0363
1015,16.6,55.4,1.0408
978,15.9,57.0,1.0224
933,15.0,59.2,1.0059
927,14.5,61.4,1.0041
908,14.1,61.6,0.9883
980,14.6,58.8,0.9711
1236,14.4,58.9,0.9594
1664,15.3,55.2,0.9538
1757,16.2,52.5,0.9576
1524,18.4,46.3,0.9734
1329,19.6,41.8,0.9407
1167,20.2,40.1,0.937
1369,20.9,36.6,0.8939
1284,20.4,34.7,0.8229
1221,19.3,35.4,0.7813
1096,18.6,36.9,0.7829
1143,18.8,36.8,0.7883
1251,17.5,40.6,0.8068
1268,16.8,44.3,0.8428
1314,16.3,47.7,0.8746
1315,15.6,50.7,0.8947
1095,15.7,49.4,0.8768
1027,15.8,48.6,0.8653
1012,15.7,47.0,0.8325
948,15.7,45.9,0.8121
889,15.6,44.9,0.792
830,15.6,44.4,0.7827
801,16.1,42.4,0.7718
804,15.7,45.4,0.8063
824,15.3,50.1,0.8617
1000,14.2,58.6,0.9443
1307,14.3,58.2,0.9431
1286,15.0,52.0,0.8817
1150,13.6,61.4,0.9519
1087,16.1,53.1,0.9675
1016,16.6,44.3,0.8294
1029,17.4,40.3,0.7922
1109,18.1,42.2,0.8679
997,14.4,51.8,0.8433
1177,10.9,76.4,0.9953
1045,16.4,47.7,0.8819
1171,18.0,37.1,0.7598
1221,14.7,48.7,0.8089
1262,11.3,71.3,0.9514
1207,10.0,74.0,0.9087
956,9.8,71.8,0.8702
1020,9.3,75.2,0.8796
1107,9.6,76.0,0.9088
1020,9.3,75.0,0.8799
1051,9.0,76.7,0.8825
965,8.2,79.6,0.8672
890,7.6,80.6,0.8437
823,8.3,75.6,0.8302
869,8.1,72.1,0.7798
939,8.1,70.4,0.7609
1274,8.1,70.5,0.7627
1512,9.9,64.3,0.7859
1435,13.0,54.2,0.809
1207,16.5,42.6,0.7912
1223,19.3,34.2,0.7566
1121,21.5,27.4,0.6941
1176,20.4,26.7,0.6323
1144,20.6,22.6,0.5432
1136,20.6,24.8,0.5931
1085,21.0,25.4,0.6264
1297,21.5,24.5,0.6203
1408,19.3,28.6,0.6357
1618,18.0,32.9,0.6737
1319,15.8,39.8,0.7096
1045,15.3,41.5,0.7194
1058,14.1,46.0,0.7363
1176,12.0,67.9,0.9523
1047,12.0,66.9,0.9336
1116,11.5,70.1,0.9503
1074,11.4,69.8,0.939
922,11.1,69.3,0.9128
898,10.8,70.3,0.9092
970,10.2,73.4,0.9129
1073,10.8,70.5,0.9142
1081,11.0,71.0,0.9279
1159,12.4,64.0,0.9206
1112,15.0,53.1,0.8993
1112,16.6,44.4,0.8313
1063,18.0,38.4,0.7862
1032,20.6,30.0,0.7213
936,19.9,26.7,0.6137
883,19.8,23.1,0.5283
942,21.4,22.7,0.5722
943,22.1,21.3,0.5605
1007,21.1,24.5,0.604
1037,18.3,31.6,0.6562
1127,16.1,35.0,0.6372
1123,14.8,41.5,0.6929
1110,13.2,50.3,0.7577
1247,12.3,55.5,0.7916
1220,11.8,56.6,0.7833
1028,11.2,56.2,0.7469
978,11.0,56.6,0.7418
949,9.3,64.3,0.7531
910,8.8,66.0,0.7501
863,7.8,70.4,0.7463
836,7.7,70.7,0.7463
856,7.4,71.0,0.7346
888,8.2,66.6,0.7283
912,8.7,64.3,0.7267
938,13.0,47.9,0.7116
1053,17.4,35.4,0.699
1087,20.2,29.2,0.683
1153,22.7,22.9,0.6224
894,22.3,22.4,0.5955
797,22.2,18.9,0.4993
854,22.0,19.0,0.4969
892,21.0,23.6,0.5788
935,19.6,27.4,0.6162
989,17.9,30.8,0.6258
1063,16.4,35.3,0.6532
922,15.6,37.5,0.6575
925,15.5,36.7,0.6438
924,14.5,39.0,0.6428
914,14.2,38.2,0.6163
840,13.7,38.3,0.5957
799,14.1,34.0,0.5442
856,14.6,34.0,0.5605
830,14.4,32.8,0.5364
753,13.9,30.9,0.4868
785,13.5,37.9,0.5852
835,13.9,43.6,0.6871
865,13.5,50.1,0.7706
922,13.3,53.6,0.8169
975,13.4,56.0,0.8576
1040,13.0,59.6,0.886
1115,12.7,62.7,0.9173
1004,12.1,60.5,0.8505
895,11.2,64.4,0.8537
917,10.7,67.6,0.8703
1025,11.4,61.2,0.8236
1035,9.9,70.5,0.8581
1025,10.3,65.2,0.8151
1040,11.0,58.9,0.7714
1070,10.6,59.5,0.7595
964,10.6,57.7,0.7362
904,10.6,56.1,0.7149
913,10.3,58.0,0.7239
914,10.4,58.4,0.7352
893,10.7,58.2,0.7459
844,10.5,59.9,0.7624
837,10.5,60.8,0.7704
868,10.6,63.1,0.8068
825,11.1,60.1,0.7925
956,10.1,68.4,0.8443
1124,10.0,68.7,0.8456
1496,11.0,64.2,0.8398
1452,12.0,58.1,0.8138
1172,12.8,52.0,0.7643
1020,12.6,50.8,0.7387
1044,13.8,47.4,0.7435
1020,15.1,42.7,0.7294
1009,16.3,38.1,0.7006
1073,16.6,36.7,0.6867
1098,15.8,40.5,0.7241
1061,16.3,41.8,0.7712
1289,16.1,42.8,0.7783
1442,15.3,46.8,0.8074
1479,14.7,47.0,0.7815
1266,14.1,49.6,0.7931
1149,13.5,54.1,0.8351
1168,12.3,59.2,0.8461
1079,11.6,62.2,0.851
1047,11.5,61.4,0.8303
936,10.9,64.6,0.8395
900,11.1,63.2,0.8331
839,10.7,64.4,0.8284
840,10.7,63.8,0.8174
905,10.2,65.8,0.8196
1079,10.3,65.6,0.8225
1417,10.8,64.0,0.8307
1529,13.3,55.6,0.8453
1397,15.8,46.8,0.8328
1214,19.5,34.4,0.7738
1109,21.1,30.2,0.745
1122,18.4,34.2,0.7185
1094,21.0,30.6,0.7538
1164,21.4,28.7,0.7231
1188,21.3,27.3,0.6856
1098,20.4,30.4,0.7193
1180,18.7,34.8,0.7436
1195,18.6,34.7,0.7369
1234,17.9,35.8,0.7276
1425,16.5,42.1,0.7856
1320,14.8,49.7,0.8321
1158,13.4,54.3,0.8291
1060,13.4,54.2,0.8319
1036,12.3,57.6,0.8223
943,11.6,58.8,0.7996
899,10.7,62.3,0.7988
889,10.2,63.2,0.7865
847,10.5,61.3,0.7761
918,9.3,65.8,0.7722
1105,9.1,67.4,0.7814
1491,10.2,62.9,0.7831
1508,11.6,58.7,0.7999
1489,13.5,53.4,0.8196
1451,15.0,49.3,0.8364
1454,17.1,42.1,0.812
1392,18.4,36.9,0.7758
1351,19.3,35.4,0.7824
1418,19.2,35.7,0.7826
1303,21.5,30.4,0.7677
1292,19.6,34.6,0.7807
1560,19.6,35.5,0.8017
1765,18.3,44.1,0.9183
1875,17.4,47.8,0.9392
1746,16.8,49.8,0.9446
1607,16.2,53.2,0.9723
1277,14.9,59.1,0.9928
1207,13.9,64.0,1.013
1209,13.7,66.8,1.041
1189,13.4,69.6,1.0688
1132,12.8,71.9,1.0632
974,12.9,68.5,1.0155
1033,11.9,74.8,1.038
1075,11.6,76.4,1.0415
1242,11.7,75.3,1.0325
1657,12.8,71.0,1.0428
1406,13.8,61.1,0.9595
1150,15.3,51.4,0.8886
1184,16.6,48.7,0.9146
1223,17.6,46.7,0.9324
1196,19.2,42.7,0.9425
1559,15.7,62.5,1.1092
1544,14.5,75.7,1.2425
1485,14.4,77.4,1.2654
1498,14.6,74.9,1.2391
1593,14.6,76.0,1.2573
1529,14.0,76.3,1.2166
1689,13.9,78.0,1.2303
1535,13.8,78.0,1.2229
1304,13.5,79.4,1.2224
1235,13.1,80.1,1.2016
1281,12.8,81.0,1.1915
1167,12.7,80.6,1.1819
1134,12.5,81.8,1.1838
1100,12.7,81.2,1.1849
1057,12.4,82.4,1.1848
902,12.6,79.9,1.1619
982,12.8,80.0,1.1761
997,12.6,79.9,1.1596
1141,12.5,79.6,1.1538
1163,12.8,80.8,1.1863
1107,13.5,78.1,1.1997
1228,14.6,74.9,1.2348
1033,16.8,61.0,1.1599
984,18.8,50.1,1.0769
1066,19.3,47.1,1.0445
926,19.3,46.6,1.0298
979,19.7,44.4,1.0081
993,19.3,45.7,1.0161
970,17.9,49.9,1.0135
997,16.9,53.2,1.0179
1097,16.1,56.0,1.0151
1105,16.5,52.8,0.986
993,16.9,51.1,0.9743
1136,17.0,50.8,0.9751
